Precipitation,Mean Temperature,Humidity,Deaths
99.5,23.4,9.9,0.020750614
99.2,22.3,9.2,0.020712328
94.7,22.2,9,0.020382944
69.6,22.8,9.4,0.020552488
94.7,23.1,9.8,0.02078199
82,23.1,9.7,0.020525215
109.9,23.1,9.5,0.020893572
92,23.3,9.9,0.02130788
69.8,23.4,9.7,0.021907626
94,23.4,9.8,0.021729968
57.5,23.4,9.7,0.021595547
63.8,23.9,10,0.021582942
71.7,23.5,9.8,0.021685455
110.7,23.7,10,0.021690243
112.2,23.3,9.7,0.021683656
76,23.4,9.9,0.021487513
100,23.4,9.8,0.021318602
89,23.4,9.7,0.021486777
85.3,23.1,9.8,0.021039036
102.8,23.7,9.9,0.020945366
95.2,24,10.1,0.020371752
99.4,23.6,9.9,0.020291824
89.1,23.5,9.9,0.020433756
87.8,23.3,9.7,0.019798179
81.6,23.8,10,0.019987391
948.1,21.9,17.5,25.19897733
1015.8,21.8,17.3,25.5364901
838.3,21.9,17.4,25.65767722
955.8,21.9,17.5,26.42226187
904.2,21.8,17.6,27.2113267
843.3,22.1,17.8,28.23479705
914.3,21.9,17.5,29.1180473
1014.7,22.3,17.9,31.08759613
998.9,22.3,18.1,35.3986667
998,21.7,17.3,39.06037815
1023.9,21.8,17.4,41.76864663
1001,21.9,17.8,47.44760022
994.3,22.1,17.9,55.51850424
988.7,22.2,18,60.26176665
1014.1,21.9,17.7,70.76812833
972,22.5,18.2,73.39186467
1018.9,21.6,17.5,70.13953658
1012.6,21.6,17.3,64.33624602
1000,21.6,17.3,54.51123524
1023.2,21.9,17.7,44.93915247
1006.4,22.1,17.9,39.04144444
998.5,21.6,17.2,34.3307302
1003.1,21.6,17.5,32.39454398
934.2,21.9,17.6,33.53334396
990.8,21.7,17.6,32.14327397
901.9,28.3,22.7,91.66627507
1181.9,27.6,23.1,91.59262723
962.7,27.4,21.2,91.27482484
946,27.7,22.2,91.31577371
1120.2,27.4,22,92.21413474
1120.3,27.7,22.5,93.11613444
1052.7,27.8,22.9,93.07008238
1041.7,27.7,22.4,92.53240315
1124.3,28.2,23,93.53429946
1152.3,27.8,22.6,94.77333681
951.2,27.8,22.2,95.88982543
864.2,27.9,22.3,104.8086679
1015.3,28,22.7,112.7772466
1198.9,28.2,23.4,122.4228675
1091,28.1,23.6,138.1132677
943.9,28.3,23.7,139.660128
951.2,28.3,23.4,138.0551678
1126,28.1,23.3,131.5768471
1221.6,27.9,22.5,119.0353655
