Year,Deaths
1990,0.020750614
1991,0.020712328
1992,0.020382944
1993,0.020552488
1994,0.02078199
1995,0.020525215
1996,0.020893572
1997,0.02130788
1998,0.021907626
1999,0.021729968
2000,0.021595547
2001,0.021582942
2002,0.021685455
2003,0.021690243
2004,0.021683656
2005,0.021487513
2006,0.021318602
2007,0.021486777
2008,0.021039036
2009,0.020945366
2010,0.020371752
2011,0.020291824
2012,0.020433756
2013,0.019798179
2014,0.019987391
1990,25.19897733
1991,25.5364901
1992,25.65767722
1993,26.42226187
1994,27.2113267
1995,28.23479705
1996,29.1180473
1997,31.08759613
1998,35.3986667
1999,39.06037815
2000,41.76864663
2001,47.44760022
2002,55.51850424
2003,60.26176665
2004,70.76812833
2005,73.39186467
2006,70.13953658
2007,64.33624602
2008,54.51123524
2009,44.93915247
2010,39.04144444
2011,34.3307302
2012,32.39454398
2013,33.53334396
2014,32.14327397
1990,91.66627507
1991,91.59262723
1992,91.27482484
1993,91.31577371
1994,92.21413474
1995,93.11613444
1996,93.07008238
1997,92.53240315
1998,93.53429946
1999,94.77333681
2000,95.88982543
2001,104.8086679
2002,112.7772466
2003,122.4228675
2004,138.1132677
2005,139.660128
2006,138.0551678
2007,131.5768471
2008,119.0353655
2009,105.0843566
2010,95.61732133
2011,87.07663231
2012,84.64046191
2013,80.23734664
2014,73.50475955
1990,1.114284969
1991,1.053549677
1992,1.040449752
1993,1.032684776
1994,1.019775674
1995,1.038891339
1996,1.073850251
1997,1.128202629
1998,1.143145235
1999,1.245113849
2000,1.281816514
2001,1.162420528
2002,1.063659431
2003,1.036757755
2004,1.166822756
2005,1.111169584
2006,1.234220463
2007,1.047064741
2008,1.01849363
2009,0.939258084
2010,0.937676087
2011,0.936072626
2012,0.816363713
2013,0.805997714
2014,0.874941638
1990,238.9822595
1991,246.3405199
1992,251.3808094
1993,255.8249774
1994,256.8128099
1995,256.5624822
1996,257.5627162
1997,255.3377154
1998,256.8603493
1999,262.309763
2000,275.8146194
2001,281.3085452
2002,286.2932644
2003,287.7017839
2004,283.2176298
2005,278.1389887
2006,275.6230752
2007,273.2723791
2008,272.5583202
2009,265.8892094
2010,257.1774139
2011,242.273578
2012,224.7665854
2013,205.7664123
2014,189.8278351
1990,255.5914497
1991,254.120386
1992,251.1642621
1993,249.8569485
1994,243.3000736
1995,240.724751
1996,239.121251
1997,234.9565784
1998,237.1879485
1999,236.7638362
2000,234.5479572
2001,232.2761788
2002,228.1749055
2003,209.9590988
2004,180.1600913
2005,133.0032812
2006,114.3174639
2007,104.5382392
2008,98.63392522
2009,97.68408546
2010,94.82771909
2011,84.45965713
2012,70.51654972
2013,67.49605425
2014,59.22178302
1990,103.5144967
1991,109.9712279
1992,114.8105391
1993,119.9177685
1994,125.242568
1995,130.9342963
1996,137.1792482
1997,141.2138682
1998,148.5599642
1999,155.523451
2000,160.3653584
2001,170.2662939
2002,189.1867712
2003,199.8113286
2004,206.48117
2005,204.3710568
2006,188.4982707
2007,176.2247011
2008,159.0269607
2009,140.154546
2010,131.0393411
2011,123.7305041
2012,116.4253776
2013,116.7635834
2014,113.6468039
1990,72.10902169
1991,74.11429582
1992,75.02948411
1993,78.16882736
1994,80.33038038
1995,84.35421431
1996,88.78788929
1997,91.56294194
1998,96.50157072
1999,103.5597422
2000,106.3455186
2001,109.9083664
2002,113.6396137
2003,118.4863906
2004,121.4149505
2005,122.8829605
2006,136.6919343
2007,133.4374402
2008,124.2137209
2009,113.5125369
2010,103.5939624
2011,92.36862594
2012,84.63152215
2013,75.71570107
2014,72.58179729
1990,57.87253092
1991,58.96779969
1992,59.21993187
1993,60.76069083
1994,61.70014646
1995,62.71558958
1996,63.32487876
1997,63.84324297
1998,65.52135441
1999,67.75210264
2000,67.13712815
2001,63.12765439
2002,62.66035028
2003,64.19453218
2004,63.3603882
2005,63.78215914
2006,70.10246194
2007,62.19487617
2008,59.12074518
2009,57.60043679
2010,51.95346702
2011,47.18034802
2012,45.23771223
2013,44.28149213
2014,42.79010093
1990,66.22650813
1991,67.46434047
1992,68.27684796
1993,69.53906618
1994,72.71717693
1995,76.72811427
1996,79.59869103
1997,84.91189796
1998,89.68187067
1999,96.0730352
2000,98.54321219
2001,103.0028094
2002,103.9568627
2003,107.1118829
2004,104.9947047
2005,108.65211
2006,93.54881774
2007,81.4146324
2008,70.96949437
2009,62.93803214
2010,57.64761045
2011,57.93520639
2012,58.26656694
2013,57.65233813
2014,59.16708146
1990,0.076941553
1991,0.076623492
1992,0.07579204
1993,0.078270008
1994,0.07977048
1995,0.086892711
1996,0.095750588
1997,0.122155745
