Year,Humidity
1990,9.9
1991,9.2
1992,9
1993,9.4
1994,9.8
1995,9.7
1996,9.5
1997,9.9
1998,9.7
1999,9.8
2000,9.7
2001,10
2002,9.8
2003,10
2004,9.7
2005,9.9
2006,9.8
2007,9.7
2008,9.8
2009,9.9
2010,10.1
2011,9.9
2012,9.9
2013,9.7
2014,10
1990,17.5
1991,17.3
1992,17.4
1993,17.5
1994,17.6
1995,17.8
1996,17.5
1997,17.9
1998,18.1
1999,17.3
2000,17.4
2001,17.8
2002,17.9
2003,18
2004,17.7
2005,18.2
2006,17.5
2007,17.3
2008,17.3
2009,17.7
2010,17.9
2011,17.2
2012,17.5
2013,17.6
2014,17.6
1990,22.7
1991,23.1
1992,21.2
1993,22.2
1994,22
1995,22.5
1996,22.9
1997,22.4
1998,23
1999,22.6
2000,22.2
2001,22.3
2002,22.7
2003,23.4
2004,23.6
2005,23.7
2006,23.4
2007,23.3
2008,22.5
2009,24.4
2010,24.2
2011,23.3
2012,23.5
2013,23.6
2014,23.6
1990,16.6
1991,16.5
1992,16.9
1993,17.1
1994,16.6
1995,17.5
1996,17.2
1997,17
1998,17.7
1999,17.2
2000,16.8
2001,17.3
2002,17.4
2003,17.3
2004,17.4
2005,17.9
2006,16.6
2007,16.7
2008,16.7
2009,17.4
2010,17.3
2011,16.8
2012,16.9
2013,16.8
2014,16.9
1990,18.5
1991,19.4
1992,18.1
1993,18.9
1994,18.9
1995,19.1
1996,18.8
1997,18.9
1998,19.5
1999,18.9
2000,18.7
2001,18.7
2002,18.5
2003,19.2
2004,19.3
2005,19.3
2006,18.5
2007,19.1
2008,18.1
2009,19.9
2010,20
2011,19.3
2012,19.6
2013,19.8
2014,19.9
1990,18.4
1991,17.8
1992,18.1
1993,18
1994,17.9
1995,18.6
1996,18.3
1997,18.7
1998,18.6
1999,18.2
2000,18.4
2001,19.3
2002,19.4
2003,19.9
2004,18.9
2005,19.4
2006,18.8
2007,18.8
2008,18.7
2009,19.2
2010,19.1
2011,19
2012,18.6
2013,18.6
2014,19
1990,22.5
1991,22.1
1992,21.6
1993,21.8
1994,21.7
1995,22.1
1996,21.9
1997,22.4
1998,22.7
1999,21.8
2000,21.9
2001,22.1
2002,22.2
2003,22.4
2004,22.4
2005,22.6
2006,22.2
2007,22.2
2008,22
2009,22.6
2010,22.9
2011,22.2
2012,22.3
2013,22.4
2014,22.5
1990,21.8
1991,21.3
1992,21
1993,21.2
1994,20.9
1995,21.5
1996,21.4
1997,22.3
1998,22.1
1999,21.2
2000,21.5
2001,21.5
2002,21.9
2003,22.2
2004,22.3
2005,22.4
2006,22
2007,22.2
2008,21.9
2009,22.5
2010,22.5
2011,21.8
2012,21.8
2013,22.1
2014,22
1990,13.7
1991,13.6
1992,13.1
1993,13.5
1994,13.2
1995,13.5
1996,13.7
1997,13.9
1998,14.1
1999,13.7
2000,13.5
2001,13.7
2002,13.9
2003,14
2004,14.2
2005,14.1
2006,13.9
2007,14.1
2008,14
2009,14.3
2010,14.4
2011,13.8
2012,13.9
2013,14
2014,14.1
1990,25.5
1991,25.2
1992,24.9
1993,24.8
1994,24.8
1995,25.2
1996,25
1997,25.7
1998,25.9
1999,24.8
2000,25
2001,25.4
2002,25.5
2003,25.5
2004,25.3
2005,25.8
2006,25.5
2007,25.4
2008,25
2009,25.5
2010,25.8
2011,25.1
2012,25.2
2013,25.4
2014,25.4
1990,28.2
1991,27.2
1992,26.7
1993,26.7
1994,27
1995,27.2
1996,27.3
1997,26.8
1998,27.8
1999,26.9
2000,26.8
2001,26.8
2002,27.2
2003,27.6
2004,26.9
2005,27
2006,27.3
2007,27.3
2008,26.4
2009,27.6
2010,27.5
2011,27.1
2012,27.3
2013,27.2
2014,27.3
1990,11.4
1991,11.5
1992,11
1993,11.5
1994,11.8
1995,11.6
1996,11.7
1997,11.4
1998,12.1
1999,12.2
2000,11.8
2001,12.2
2002,12.3
2003,12.2
2004,11.9
2005,11.9
2006,12
2007,12.2
2008,12.3
2009,12.4
2010,13.1
2011,12.2
2012,12.6
2013,12.3
2014,12.6
1990,26.8
1991,26.6
1992,26.1
1993,26.2
1994,26.2
1995,26.7
1996,26.3
1997,26.8
1998,27.2
1999,26.4
2000,26.5
2001,26.7
2002,26.9
2003,27
2004,26.6
2005,27
2006,26.8
2007,26.5
2008,26.4
2009,26.9
2010,27.3
2011,26.8
2012,26.8
2013,26.6
2014,27
1990,20.9
1991,20.8
1992,20
1993,20.5
1994,20.7
1995,20.9
1996,20.8
1997,20.3
1998,21.1
1999,20.8
2000,20.4
2001,20.7
2002,20.8
2003,21.2
2004,20.6
2005,20.8
2006,21
2007,20.9
2008,20.6
2009,21
2010,21.5
2011,20.7
2012,21.1
2013,21
