Year,Mean Temperature
1990,23.4
1991,22.3
1992,22.2
1993,22.8
1994,23.1
1995,23.1
1996,23.1
1997,23.3
1998,23.4
1999,23.4
2000,23.4
2001,23.9
2002,23.5
2003,23.7
2004,23.3
2005,23.4
2006,23.4
2007,23.4
2008,23.1
2009,23.7
2010,24
2011,23.6
2012,23.5
2013,23.3
2014,23.8
1990,21.9
1991,21.8
1992,21.9
1993,21.9
1994,21.8
1995,22.1
1996,21.9
1997,22.3
1998,22.3
1999,21.7
2000,21.8
2001,21.9
2002,22.1
2003,22.2
2004,21.9
2005,22.5
2006,21.6
2007,21.6
2008,21.6
2009,21.9
2010,22.1
2011,21.6
2012,21.6
2013,21.9
2014,21.7
1990,28.3
1991,27.6
1992,27.4
1993,27.7
1994,27.4
1995,27.7
1996,27.8
1997,27.7
1998,28.2
1999,27.8
2000,27.8
2001,27.9
2002,28
2003,28.2
2004,28.1
2005,28.3
2006,28.3
2007,28.1
2008,27.9
2009,28.4
2010,28.5
2011,28.2
2012,28
2013,28.2
2014,28.3
1990,22.2
1991,21.6
1992,22.4
1993,22.3
1994,22.1
1995,22.7
1996,22.2
1997,22.3
1998,22.9
1999,22.7
2000,22.1
2001,22.4
2002,22.7
2003,22.8
2004,22.7
2005,23.3
2006,22
2007,22.2
2008,22.2
2009,22.9
2010,22.7
2011,22.1
2012,22.4
2013,22.3
2014,22.1
1990,28.7
1991,28.4
1992,28
1993,28.7
1994,28.1
1995,28.4
1996,28.6
1997,28.6
1998,29
1999,28.5
2000,28.6
2001,28.7
2002,29
2003,28.9
2004,29
2005,29.2
2006,28.8
2007,29
2008,28.4
2009,29.1
2010,29.3
2011,29.1
2012,28.7
2013,28.9
2014,29
1990,20
1991,20.1
1992,20.1
1993,20
1994,19.9
1995,20.6
1996,20.3
1997,20.6
1998,20.4
1999,20.2
2000,20.4
2001,20.7
2002,21
2003,21.2
2004,20.7
2005,21.3
2006,20.7
2007,20.5
2008,20.4
2009,20.9
2010,21
2011,20.7
2012,20.4
2013,20.5
2014,20.8
1990,25.2
1991,25
1992,24.6
1993,24.7
1994,24.7
1995,24.9
1996,24.8
1997,25.1
1998,25.5
1999,24.9
2000,24.7
2001,24.7
2002,24.9
2003,25.1
2004,25.1
2005,25.3
2006,25
2007,25
2008,24.8
2009,25.4
2010,25.4
2011,25.1
2012,25
2013,25
2014,25.2
1990,25.5
1991,25.3
1992,24.9
1993,25
1994,24.9
1995,25.2
1996,25.2
1997,26
1998,25.8
1999,25
2000,25.3
2001,25.4
2002,25.6
2003,25.8
2004,25.9
2005,26.1
2006,25.7
2007,25.9
2008,25.6
2009,26.1
2010,26.1
2011,25.5
2012,25.6
2013,25.7
2014,25.7
1990,27.2
1991,27.3
1992,26.3
1993,27
1994,26.7
1995,27
1996,27.3
1997,27.4
1998,27.6
1999,27.4
2000,26.8
2001,27.2
2002,27.5
2003,27.7
2004,28
2005,27.9
2006,27.6
2007,27.9
2008,27.7
2009,28.3
2010,28.4
2011,27.5
2012,27.7
2013,27.8
2014,27.8
1990,24.9
1991,24.9
1992,24.6
1993,24.5
1994,24.6
1995,24.8
1996,24.6
1997,25.2
1998,25.4
1999,24.6
2000,24.6
2001,24.8
2002,25
2003,24.9
2004,24.8
2005,25
2006,24.9
2007,24.8
2008,24.6
2009,24.9
2010,25.1
2011,24.7
2012,24.7
2013,24.9
2014,24.8
1990,28.7
1991,28.3
1992,28
1993,27.9
1994,28.2
1995,28.4
1996,28.5
1997,28.4
1998,29.1
1999,28.2
2000,28.4
2001,28.4
2002,28.7
2003,28.9
2004,28.3
2005,28.3
2006,28.5
2007,28.5
2008,27.8
2009,29
2010,28.8
2011,28.6
2012,28.7
2013,28.7
2014,28.6
1990,22.4
1991,22.4
1992,21.7
1993,22.6
1994,22.6
1995,22.6
1996,22.9
1997,22.4
1998,23.2
1999,23.2
2000,22.3
2001,23.1
2002,23.2
2003,23
2004,23.1
2005,23.1
2006,23
2007,23.1
2008,23.5
2009,23.4
2010,24.7
2011,22.8
2012,23.4
2013,23.3
2014,23.6
1990,24.9
1991,24.8
1992,24.6
1993,24.6
1994,24.6
1995,25
1996,24.9
1997,24.9
1998,25.5
1999,24.8
2000,24.8
2001,24.7
2002,25
2003,25.1
2004,24.8
2005,25
2006,25
2007,24.9
2008,24.8
2009,25
2010,25.2
2011,25
2012,25
2013,24.9
2014,25.1
1990,26.3
1991,25.9
1992,25.1
1993,25.8
1994,25.8
1995,25.7
1996,26.1
1997,26
1998,26.5
1999,26.2
2000,26
2001,26.1
2002,26.5
2003,26.5
2004,26.1
2005,26.2
2006,26.2
2007,26.2
2008,26.1
2009,26.7
2010,26.8
2011,26.3
2012,26.7
2013,26.6
2014,26.4
1990,22.4
1991,22.5
1992,22.4
1993,22.2
1994,22.3
1995,22.7
1996,22.6
1997,22.5
1998,22.7
1999,22.2
2000,22.5
2001,22.6
2002,22.9
2003,23
2004,22.8
2005,22.8
2006,22.8
2007,22.7
2008,22.4
2009,23.2
2010,22.9
2011,22.9
2012,22.8
2013,23
2014,23
1990,25.3
1991,25.3
1992,25
1993,25
1994,25
1995,25.4
1996,25.3
1997,25.4
1998,26
1999,25.3
2000,25.2
2001,25.3
2002,25.6
2003,25.5
2004,25.2
2005,25.4
2006,25.4
2007,25.3
2008,25.2
2009,25.4
2010,25.5
2011,25.4
2012,25.4
2013,25.4
2014,25.5
1990,28.1
1991,28
1992,28
1993,28.1
1994,27.8
1995,28
1996,28.2
1997,28.3
1998,28.8
1999,27.8
2000,28
2001,28.2
2002,28.4
2003,28.1
2004,28.3
2005,28.6
2006,28.2
2007,28.4
2008,28.4
2009,28
2010,28.8
2011,28.3
2012,28.3
2013,28.4
2014,28.4
1990,27.8
1991,27.3
1992,27.1
1993,27.4
1994,27.3
1995,27.6
1996,27.5
1997,27.5
1998,28.1
1999,27.4
2000,27.6
2001,27.5
2002,27.5
2003,27.7
2004,27.7
2005,27.9
2006,27.6
2007,27.6
2008,27.4
2009,27.6
2010,28.1
2011,27.8
2012,27.5
2013,27.7
2014,27.9
1990,26
1991,26
1992,25.7
1993,25.9
1994,25.6
1995,26
1996,26.2
1997,26.1
1998,26.7
1999,26.1
2000,26
2001,26.2
2002,26.2
2003,26.3
2004,26.5
2005,26.6
2006,26.3
2007,26.4
2008,25.9
2009,26.2
2010,26.6
2011,26.3
2012,26.2
2013,26.3
2014,26.3
1990,27.1
1991,27.1
1992,26.9
1993,27
1994,26.8
1995,27.2
1996,27.3
1997,27.3
1998,27.8
1999,27.4
2000,27.3
2001,27.3
2002,27.3
2003,27.3
2004,27.4
2005,27.9
2006,27.4
2007,27.5
2008,27.3
2009,27.2
2010,27.8
2011,27.3
2012,27.4
2013,27.5
2014,27.4
1990,24.7
1991,25
1992,24.9
1993,24.9
1994,24.8
1995,25.2
1996,25.1
1997,25.2
1998,25.2
1999,25.1
2000,25.3
2001,25.3
2002,25.8
2003,25.8
2004,25.5
2005,25.4
2006,25.6
2007,25.4
2008,25.2
2009,25.9
2010,25.7
2011,25.7
2012,25.3
2013,25.4
2014,25.8
1990,12.1
1991,12.2
1992,12.7
1993,12.5
1994,11.6
1995,11.9
1996,11.3
1997,11.6
1998,11.9
1999,12.7
2000,11.6
2001,11.9
2002,11.9
2003,12.3
2004,12.3
2005,12.5
2006,11.9
2007,12.1
2008,12.4
2009,12.1
2010,12.9
2011,12.2
2012,12.5
2013,12.8
2014,12.7
1990,25.5
1991,25.5
1992,25.3
1993,25.4
1994,25.3
1995,25.5
1996,25.6
1997,25.7
1998,26.1
1999,25.6
2000,25.6
2001,25.5
2002,25.6
2003,25.7
2004,25.8
2005,26
2006,25.8
2007,25.8
2008,25.3
2009,25.6
2010,26.1
2011,25.6
2012,25.4
2013,25.7
2014,25.6
1990,22.4
1991,22.2
1992,21.4
1993,22.2
1994,22.3
1995,22.2
1996,22.4
1997,22.5
1998,22.7
1999,23
2000,22
2001,22.9
2002,22.9
2003,22.8
2004,22.9
2005,22.7
2006,22.5
2007,22.8
2008,23
2009,23
2010,23.8
2011,22.4
2012,22.8
2013,22.8
2014,22.9
1990,22.5
1991,22.1
1992,22.5
1993,22.2
1994,22.4
1995,22.7
1996,22.3
1997,22.6
1998,22.9
1999,22.3
2000,22
2001,22.4
2002,22.5
2003,22.6
2004,22.3
2005,23
2006,22.4
2007,22.5
2008,22.3
2009,22.5
2010,23.1
2011,22.5
2012,22.3
2013,22.5
2014,22.6
1990,29
1991,28.4
1992,28
1993,28.6
1994,28
1995,28.7
1996,28.9
1997,28.9
1998,29.2
1999,28.5
2000,28.8
2001,29.1
2002,29.2
2003,29.2
2004,29.2
2005,29.4
2006,28.9
2007,29.1
2008,28.5
2009,29.2
2010,29.8
2011,29.2
2012,28.8
2013,28.9
2014,29.1
1990,28.3
1991,28
1992,27.6
1993,27.8
1994,27.6
1995,28.2
1996,28.3
1997,28.5
1998,28.7
1999,28
2000,28.3
2001,29
2002,28.6
2003,28.5
2004,28.5
2005,28.8
2006,28.7
2007,28.5
2008,28.4
2009,28.6
2010,29.3
2011,28.7
2012,28.3
2013,28.8
2014,28.5
1990,17.7
1991,16.8
1992,16.8
1993,16.7
1994,17.5
1995,17.9
1996,17.4
1997,18
1998,17.7
1999,17.4
2000,17.7
2001,18.4
2002,17.9
2003,18
2004,17.6
2005,17.8
2006,18.1
2007,17.7
2008,17.6
2009,18.1
2010,18.5
2011,18.1
2012,17.9
2013,17.9
2014,18.3
1990,24.2
1991,24
1992,24.5
1993,24.2
1994,24
1995,24.4
1996,24.1
1997,24.1
1998,24.6
1999,24.1
2000,23.9
2001,24.2
2002,24.5
2003,24.4
2004,24.3
2005,24.9
2006,24.3
2007,24.5
2008,24.3
2009,24.4
2010,24.9
2011,24.5
2012,24.3
2013,24.4
2014,24.5
1990,20.3
1991,20.4
1992,20.6
1993,20.6
1994,20.4
1995,20.6
1996,20.2
1997,20.6
1998,20.5
1999,20.5
2000,20.5
2001,20.4
2002,20.3
2003,20.6
2004,20.6
2005,20.8
2006,20.4
2007,20.4
2008,20.3
2009,20.9
2010,20.9
2011,20.6
2012,20.6
2013,20.9
2014,20.7
1990,27.7
1991,27.6
1992,26.8
1993,27.4
1994,27.1
1995,27.6
1996,27.8
1997,27.8
1998,28.2
1999,28
2000,27.3
2001,27.7
2002,27.9
2003,27.9
2004,28
2005,28.1
2006,27.8
2007,28
2008,27.6
2009,28.6
2010,28.7
2011,28.2
2012,28
2013,28.1
2014,28.3
1990,27.4
1991,27
1992,26.6
1993,27
1994,26.7
1995,27.1
1996,27.1
1997,27.1
1998,27.6
1999,27.2
2000,26.8
2001,27
2002,27.2
2003,27.4
2004,27.3
2005,27.5
2006,27.4
2007,27.4
2008,27.1
2009,27.8
2010,27.8
2011,27.4
2012,27.3
2013,27.4
2014,27.6
1990,18
1991,18.2
1992,18.2
1993,18.1
1994,18
1995,18.6
1996,18.3
1997,18.7
1998,18.4
1999,18.3
2000,18.6
2001,18.9
2002,19.2
2003,19.4
2004,18.9
2005,19.5
2006,18.9
2007,18.7
2008,18.6
2009,19.2
2010,19.2
2011,18.8
2012,18.6
2013,18.7
2014,19
1990,28.5
1991,28.2
1992,28.2
1993,28.4
1994,27.9
1995,28.2
1996,28.5
1997,28.6
1998,29.1
1999,28.1
2000,28.3
2001,28.6
2002,28.6
2003,28.6
2004,28.7
2005,28.8
2006,28.6
2007,28.7
2008,28.6
2009,28.3
2010,29.1
2011,28.6
2012,28.4
2013,28.7
2014,28.6
1990,27.2
1991,27.3
1992,27.2
1993,27.1
1994,27.3
1995,27.2
1996,27.2
1997,27.5
1998,27.4
1999,27.2
2000,27.2
2001,27.3
2002,27.3
2003,27.4
2004,27.2
2005,27.3
2006,27.2
2007,27.4
2008,27.3
2009,27.4
2010,27.6
2011,27.5
2012,27.4
2013,27.5
2014,27.5
1990,26.3
1991,26.3
1992,26.1
1993,26.3
1994,26
1995,26.3
1996,26.4
1997,26.4
1998,26.9
1999,26.5
2000,26.4
2001,26.5
2002,26.4
2003,26.5
2004,26.7
2005,26.9
2006,26.7
2007,26.6
2008,26.4
2009,26.4
2010,26.8
2011,26.5
2012,26.4
2013,26.5
2014,26.5
1990,27.3
1991,27.2
1992,27.2
1993,27.1
1994,27.1
1995,27.3
1996,27.3
1997,27.2
1998,27.5
1999,27.1
2000,27.2
2001,27.2
2002,27.4
2003,27.6
2004,27.4
2005,27.4
2006,27.4
2007,27.4
2008,27
2009,27.7
2010,27.5
2011,27.5
2012,27.4
2013,27.4
2014,27.5
1990,18
1991,18
1992,18.5
1993,18.5
1994,17.9
1995,18.1
1996,17.6
1997,17.9
1998,18.3
1999,18.7
2000,17.8
2001,18.1
2002,18.1
2003,18.5
2004,18.6
2005,18.7
2006,18.3
2007,18.5
2008,18.6
2009,18.6
2010,18.9
2011,18.3
2012,18.4
2013,18.5
2014,18.7
1990,27.7
1991,27.4
1992,26.7
1993,27.5
1994,27.1
1995,27.5
1996,27.7
1997,28
1998,27.8
1999,27.6
2000,27.6
2001,27.9
2002,28.2
2003,28.2
2004,28.3
2005,28.5
2006,28.2
2007,28.3
2008,28.5
2009,28.8
2010,29.2
2011,28
2012,28.2
2013,28.3
2014,28.2
1990,21.7
1991,21.8
1992,22.5
1993,22.2
1994,21.4
1995,21.9
1996,21.6
1997,21.6
1998,22.2
1999,22.1
2000,21.4
2001,21.7
2002,21.9
2003,22.2
2004,22.1
2005,22.4
2006,21.9
2007,21.9
2008,21.9
2009,21.8
2010,22.6
2011,21.9
2012,22
2013,22.4
2014,22.4
1990,22.6
1991,22.6
1992,22.7
1993,22.5
1994,22.6
1995,23
1996,22.9
1997,23.2
1998,23.1
1999,22.9
2000,22.9
2001,23
2002,23.4
2003,23.5
2004,23.1
2005,23.4
2006,23.2
2007,23
2008,22.9
2009,23.3
2010,23.5
2011,23.2
2012,23
2013,23.1
2014,23.3
1990,27.9
1991,27
1992,26.9
1993,27.1
1994,27
1995,27.3
1996,27.2
1997,27.2
1998,27.8
