Year,Precipitation
1990,99.5
1991,99.2
1992,94.7
1993,69.6
1994,94.7
1995,82
1996,109.9
1997,92
1998,69.8
1999,94
2000,57.5
2001,63.8
2002,71.7
2003,110.7
2004,112.2
2005,76
2006,100
2007,89
2008,85.3
2009,102.8
2010,95.2
2011,99.4
2012,89.1
2013,87.8
2014,81.6
1990,948.1
1991,1015.8
1992,838.3
1993,955.8
1994,904.2
1995,843.3
1996,914.3
1997,1014.7
1998,998.9
1999,998
2000,1023.9
2001,1001
2002,994.3
2003,988.7
2004,1014.1
2005,972
2006,1018.9
2007,1012.6
2008,1000
2009,1023.2
2010,1006.4
2011,998.5
2012,1003.1
2013,934.2
2014,990.8
1990,901.9
1991,1181.9
1992,962.7
1993,946
1994,1120.2
1995,1120.3
1996,1052.7
1997,1041.7
1998,1124.3
1999,1152.3
2000,951.2
2001,864.2
2002,1015.3
2003,1198.9
2004,1091
2005,943.9
2006,951.2
2007,1126
2008,1221.6
2009,1053.3
2010,1120.9
2011,936
2012,1122
2013,960.2
2014,1024
1990,275
1991,440.2
1992,217.4
1993,289.5
1994,296.1
1995,329.1
1996,444.8
1997,445.9
1998,386.2
1999,310.9
2000,487.4
2001,473
2002,330.7
2003,349.3
2004,433.8
2005,357.1
2006,478.2
2007,367.2
2008,391.8
2009,415.3
2010,526.9
2011,508.3
2012,351.6
2013,369.6
2014,433.1
1990,630.5
1991,808.5
1992,731.8
1993,682.3
1994,948.7
1995,732.2
1996,719.3
1997,687.3
1998,785.5
1999,798.4
2000,692
2001,715.7
2002,655.4
2003,898.3
2004,700.5
2005,761.7
2006,742.9
2007,798.2
2008,795.2
2009,806
2010,785.9
2011,691
2012,852.2
2013,754.4
2014,813.1
1990,1124.5
1991,1123
1992,1088.7
1993,957.4
1994,1210.3
1995,1099.8
1996,1024.6
1997,1344.7
1998,1210.4
1999,994.2
2000,991.1
2001,1135.3
2002,1375.7
2003,1086.3
2004,1054
2005,1063.1
2006,1292.6
2007,1295.4
2008,1071.5
2009,1362.2
2010,1394.7
2011,1208.6
2012,1093.7
2013,1260.7
2014,1199.4
1990,1607.3
1991,1542.8
1992,1555.7
1993,1625.8
1994,1563.5
1995,1478.5
1996,1617.8
1997,1758
1998,1528.5
1999,1660.8
2000,1697.5
2001,1689
2002,1623.8
2003,1638
2004,1517.8
2005,1483.2
2006,1636.6
2007,1738.6
2008,1595.2
2009,1538.2
2010,1492
2011,1354
2012,1598.5
2013,1422.1
2014,1485.2
1990,1264.1
1991,1355.5
1992,1319.9
1993,1316.5
1994,1297.1
1995,1373.8
1996,1374.2
1997,1423.7
1998,1399.7
1999,1455.9
2000,1297.4
2001,1312.4
2002,1230.1
2003,1370.2
2004,1271.6
2005,1287
2006,1359.4
2007,1382.2
2008,1316.3
2009,1289.2
2010,1380.5
2011,1321.4
2012,1389.9
2013,1426.2
2014,1396.5
1990,234.7
1991,307.5
1992,285.4
1993,244.3
1994,375
1995,313.4
1996,291.3
1997,302.9
1998,336.9
1999,322.4
2000,287.1
2001,285
2002,249.7
2003,300.5
2004,323.9
2005,357.6
2006,355.4
2007,386.3
2008,348.9
2009,292.8
2010,383
2011,334.8
2012,401.4
2013,318.7
2014,350.3
1990,1715.6
1991,1569.2
1992,1528.7
1993,1511
1994,1680.4
1995,1631.8
1996,1522.2
1997,1718.6
1998,1589.7
1999,1789.6
2000,1667
2001,1490.5
2002,1680.6
2003,1544
2004,1460.5
2005,1535
2006,1572.6
2007,1622.1
2008,1619.6
2009,1717.1
2010,1580.3
2011,1565.8
2012,1656.3
2013,1579.7
2014,1545.8
1990,295.2
1991,155.7
1992,262.5
1993,289.6
1994,294.3
1995,283.5
1996,86.6
1997,180.6
1998,193.2
1999,365.7
2000,304.9
2001,223.3
2002,197.4
2003,197.7
2004,219.7
2005,186.4
2006,235.1
2007,197
2008,198.5
2009,193.6
2010,236.2
2011,217
2012,208.9
2013,290.7
2014,264.7
1990,41
1991,57.1
1992,42.3
1993,53.4
1994,54.3
1995,27
1996,31.8
1997,40.1
1998,46.8
1999,26.3
2000,46.5
2001,25.9
2002,39.4
2003,31.8
2004,35.4
2005,38.5
2006,29.5
2007,29.3
2008,33.7
2009,32.5
2010,29.4
2011,31.8
2012,35.4
2013,41
2014,43.7
1990,2348.9
1991,2133
1992,1915.7
1993,1842.3
1994,2366.5
1995,2247
1996,2402.6
1997,2098
1998,2190.3
1999,2412
2000,2210.5
2001,2281
2002,2487.7
2003,2384.9
2004,2330.5
2005,1897
2006,2378
2007,2610.6
2008,2285.9
2009,2354.4
2010,2029.9
2011,1849
2012,2625.8
2013,1935.4
2014,2058.8
1990,212.5
1991,369.9
1992,383.4
1993,361.7
1994,377.5
1995,379.3
1996,329.6
1997,349.2
1998,457.9
1999,360.9
2000,464.6
2001,382.1
2002,337.1
2003,358.2
2004,325.1
2005,426.3
2006,363
2007,424.4
2008,369.7
2009,314.1
2010,320.7
2011,298.7
2012,312
2013,327
2014,401.6
1990,749.1
1991,767.4
1992,747.4
1993,807.8
1994,838.1
1995,714.8
